"species"	"x"	"y"
"Trigona spinipes"	-43.07096	-22.253752
"Trigona spinipes"	-47.336111	-15.540833
"Trigona spinipes"	-43.07096	-22.253752
"Trigona spinipes"	-46.69038	-23.610872
"Trigona spinipes"	-48.053431	-15.996703
"Trigona spinipes"	-42.770316	-22.453535
"Trigona spinipes"	-47.024453	-22.996637
"Trigona spinipes"	-47.888553	-15.735153
"Trigona spinipes"	-47.87635	-15.733045
"Trigona spinipes"	-47.030967	-22.993028
"Trigona spinipes"	-47.809452	-15.799469
"Trigona spinipes"	-43.07096	-22.253752
"Trigona spinipes"	-47.878685	-15.834245
"Trigona spinipes"	-44.47716	-20.386121
"Trigona spinipes"	-43.861755	-16.71086
"Trigona spinipes"	-43.355755	-4.8636
"Trigona spinipes"	-43.23106	-22.975785
"Trigona spinipes"	-49.300965	-25.432216
"Trigona spinipes"	-50.262344	-29.895604
"Trigona spinipes"	-50.262222	-29.895556
"Trigona spinipes"	-48.628457	-17.734448
"Trigona spinipes"	-43.978935	-19.899376
"Trigona spinipes"	-51.342789	-27.919333
"Trigona spinipes"	-35.165012	-7.923776
"Trigona spinipes"	-47.93993	-15.834811
"Trigona spinipes"	-47.858889	-15.729722
"Trigona spinipes"	-47.809469	-15.799363
"Trigona spinipes"	-47.858889	-15.729444
"Trigona spinipes"	-48.030486	-15.806445
"Trigona spinipes"	-42.670142	-18.758851
"Trigona spinipes"	-43.07096	-22.253752
"Trigona spinipes"	-41.49672	-12.60907
"Trigona spinipes"	-43.947636	-12.771599
"Trigona spinipes"	-51.343932	-27.914263
"Trigona spinipes"	-48.422212	-27.392442
"Trigona spinipes"	-47.109417	-22.822974
"Trigona spinipes"	-47.870369	-15.755453
"Trigona spinipes"	-51.937508	-23.405238
"Trigona spinipes"	-51.929552	-23.428509
"Trigona spinipes"	-47.877869	-15.948196
"Trigona spinipes"	-47.10461	-22.836022
"Trigona spinipes"	-47.104687	-22.835912
"Trigona spinipes"	-38.386138	-12.951203
"Trigona spinipes"	-38.413105	-12.95132
"Trigona spinipes"	-38.507717	-13.002067
"Trigona spinipes"	-48.911859	-22.034521
"Trigona spinipes"	-40.666597	-20.403469
"Trigona spinipes"	-47.875722	-15.825178
"Trigona spinipes"	-47.515995	-14.134764
"Trigona spinipes"	-46.596119	-21.778143
"Trigona spinipes"	-47.807148	-15.797834
"Trigona spinipes"	-47.871319	-15.771241
"Trigona spinipes"	-43.706379	-20.530789
"Trigona spinipes"	-49.283433	-16.700663
"Trigona spinipes"	-44.888637	-23.360532
"Trigona spinipes"	-48.052074	-16.84304
"Trigona spinipes"	-47.777152	-15.934356
"Trigona spinipes"	-47.828641	-15.861243
"Trigona spinipes"	-47.86602	-15.76792
"Trigona spinipes"	-51.186641	-28.059747
"Trigona spinipes"	-46.525053	-23.704449
"Trigona spinipes"	-51.18639	-28.059444
"Trigona spinipes"	-48.829475	-15.893617
"Trigona spinipes"	-51.186111	-28.059723
"Trigona spinipes"	-46.730689	-23.55653
"Trigona spinipes"	-47.875001	-15.769146
"Trigona spinipes"	-49.968046	-22.236114
"Trigona spinipes"	-47.788733	-15.640663
"Trigona spinipes"	-47.788233	-15.640872
"Trigona spinipes"	-47.825832	-15.745
"Trigona spinipes"	-48.645275	-26.93162
"Trigona spinipes"	-46.742512	-22.197411
"Trigona spinipes"	-47.05726	-23.962313
"Trigona spinipes"	-38.506693	-7.440104
"Trigona spinipes"	-48.497202	-27.685113
"Trigona spinipes"	-49.401299	-19.165945
"Trigona spinipes"	-51.342902	-27.919147
"Trigona spinipes"	-51.933617	-23.406505
"Trigona spinipes"	-46.626091	-23.472799
"Trigona spinipes"	-47.859084	-15.775585
"Trigona spinipes"	-47.105223	-22.827472
"Trigona spinipes"	-47.880028	-15.767599
"Trigona spinipes"	-47.836863	-15.735862
"Trigona spinipes"	-47.858891	-15.729722
"Trigona spinipes"	-47.852488	-15.671121
"Trigona spinipes"	-47.837025	-15.73577
"Trigona spinipes"	-47.926521	-15.731145
"Trigona spinipes"	-47.019883	-22.905617
"Trigona spinipes"	-47.880251	-15.76738
"Trigona spinipes"	-47.858891	-15.729445
"Trigona spinipes"	-47.606363	-15.575667
"Trigona spinipes"	-48.010471	-15.814644
"Trigona spinipes"	-40.756398	-16.627077
"Trigona spinipes"	-47.928294	-16.015952
"Trigona spinipes"	-51.933447	-23.406283
"Trigona spinipes"	-38.401637	-12.94693
"Trigona spinipes"	-43.225095	-22.969941
"Trigona spinipes"	-47.880222	-15.76769
